ORDER_ID,ORDER_ITEM_ID,MATNR,QUANTITY,TOTAL_PRICE
10541,9862,19114016,1,2490.0
10561,9881,19067482,1,2750.0
10561,9882,19086500,1,2970.0
10581,9883,19047937,1,3640.0
10581,9884,19047931,1,5530.0
10581,9885,19047940,1,6160.0
10581,9886,19047932,1,5600.0
10601,9901,19047937,1,3640.0
10601,9903,19047932,1,5600.0
10621,9921,59007296,1,20900.0
2061,2061,19084437,1,5880.0
2081,2081,19047928,1,7420.0
2103,2103,25017431,1,399.0
2121,2121,25017251,1,120.0
2122,2122,25017251,1,120.0
2201,2189,19110830,1,9900.0
2261,2241,19097400,1,32900.0
2261,2242,59008078,1,11500.0
2261,2243,19110327,2,13800.0
2261,2244,19097402,1,17990.0
2261,2245,19112683,1,30900.0
2261,2246,59008117,1,20900.0
2261,2247,19093314,1,11590.0
2261,2248,19097405,1,36900.0
2261,2249,19089163,1,11500.0
2262,2250,25015685,4,6000.0
2281,2261,19106666,1,3300.0
2281,2262,19106652,1,9900.0
12426,2263,19040788,1,17900.0
2281,2264,19090858,1,7400.0
2281,2265,59008643,1,13500.0
12425,2266,19090935,1,21500.0
2381,2341,19071113,18,34020.0
2462,2406,19097657,3,8100.0
2462,2407,19045725,1,6650.0
2501,2441,19063976,1,6900.0
2661,2581,19050594,1,29900.0
2801,2721,59002831,1,29900.0
2861,2781,59008825,1,28900.0
2864,2784,59008825,1,28900.0
2921,2841,19089077,2,7000.0
2961,2881,19041255,1,2550.0
3041,2961,59006456,1,15900.0
3062,2982,19015906,1,3900.0
3281,3201,19109912,1,5900.0
3281,3202,19055598,1,10640.0
3281,3203,19101639,1,2100.0
3402,3323,19106652,1,9900.0
3402,3324,19106651,1,6900.0
3522,3442,19110590,1,12900.0
3544,3469,19062263,1,4100.0
3544,3470,19090204,1,2790.0
3546,3472,19062263,1,4100.0
3546,3473,19090204,1,2790.0
3621,3541,19060219,1,5900.0
3721,3641,19111456,1,15900.0
3741,3661,59004830,1,9900.0
