,ID,MATNR,IMAGE_URL
73,"32,220",25009355,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009355_NMI500413-IT-SBDS-Home Decoration-DE0340-Photo Frame-Vintage_A_A4.jpg
74,"32,646",19027567,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19027567_TMPN100358-IT-SB-KidBedroom-Myzone Kid100358-Bed-Modern Chic_A_A4.jpg
75,"32,584",19023575,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19023575_TMPN100341-IT-SB-Kid Bedroom-Myzone Kid 100341-Wardrobe-Modern Italian_A_A4.jpg
76,"29,754",59000172,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000172_TMPN100096-RT-SB-Livingroom-Linete-Modern Classic_A_A4.jpg
77,"29,817",59000231,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000231_TMPN300069-RT-KC-Bedroom-Optimus-BMillana- Modern _A_A4.jpg
78,"29,824",19051731,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19051731_TMPN100237-IT-SB-Living-Gliss100237-Low Cabinet-Modern Italian_A_A4.jpg
79,"9,946",59000320,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000320_TMPN300047-RT-KC-Bedroom-Torino-FMillana-Modern_A_A4.jpg
80,"32,524",19037268,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19037268_TMPN100269-IT-SB-Living Room-Trizz100269-Desk-Modern Italian_A_A4.jpg
81,"13,859",19051623,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19051623_TMPN300196-IT-KC-Bedroom-Teddy-Wardrobe-Modern_A_A4.jpg
82,"32,635",19027566,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19027566_TMPN100357-IT-SB-KidBedroom-Myzone Kid100357-Bed-Modern Chic_A_A4.jpg
83,"14,332",19050040,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050040_TMPN300582-IT-KC-Kitchen-Contrino-DK-403-Contemporary_A_A4.jpg
84,"31,117",19031504,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19031504_TMPN100253-IT-SB-Home Office-Exio100253-Desk--Modern Italian_A_A4.jpg
85,"22,534",19031669,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19031669_TMPN100004-IT-SB-Bedroom-Exio100004-Bed-Modern Italian_A_A4.jpg
86,"20,317",19047539,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19047539_TMPN200026-IT-SBDS-Livingroom-Walta-Armchair-Modern_A_A4.jpg
87,"14,792",19036631,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19036631_TMPN300044-IT-KC-Livingroom-Optimus-BP120-Minimal_A_A4.jpg
88,"23,958",59000029,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000029_TMPN100014-RT-SB-Bedroom-Trizz- Modern Italian_A_A4.jpg
89,"23,945",59000017,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000017_TMPN100010-RT-SB-Bedroom-ModenaMetrio-Modern Contemporary_A_A4.jpg
90,"23,497",19043147,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19043147_TMPN100054-SB-Bedroom-Palazzo100054-Mirror-Modern Contemporary_A_A4.jpg
91,"9,972",59000347,http://sbmedia.sbdesignsquare.com/cyber/images/mat/59000347_TMPN300085-RT-KC-Bedroom-Alicia-E&Meudon-Modern_A_A4.jpg
92,"8,039",19031684,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19031684_TMPN100152-IT-SB-Bedroom-LioneMaxio100152-Dressing Table-Modern Italian_A_A4.jpg
93,"14,581",19027122,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19027122_TMPN300376-IT-KC-Livingroom-Selector TV120-ModernContemporary_A_A4.jpg
94,"32,427",19055522,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19055522_TMPN200262-IT-Cliche-Livingroom-Adela-Armchair-Ecolism_A_A4.jpg
95,"32,629",19026938,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19026938_TMPN100342-IT-SB-Kid Bedroom-Myzone Kid 100342-Hinging Box-Modern Italian_A_A4.jpg
96,"42,685",25009873,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009873_NMI501023-IT-SBDS-Home Decoration-DE6899-Wood&MDF wall photo collage-Modern_A_A4.JPG
97,"42,691",25009906,http://sbmedia.sbdesignsquare.com/cyber/images/mat/25009906_NMI501024-IT-SBDS-Home Decoration-YA-H81190-Wood Trunks-Vintage_A_A4.jpg
98,"24,806",19050245,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050245_TMPN500392-IT-SBDS-Home Decoration-YA-H92918C-MDF photo frame-Modern_A_A4.jpg
99,"24,808",19050244,http://sbmedia.sbdesignsquare.com/cyber/images/mat/19050244_TMPN500391-IT-SBDS-Home Decoration-YA-H92918B-MDF photo frame-Modern_A_A4.jpg
