,NODE,LTEXT,LTEXT_T
318,R7,หน้าโต๊ะ ตู้พื้น IT-B,
319,R8,หน้าโต๊ะ ตู้ลิ้นชักลึก30 IT,
320,R9,หน้าโต๊ะ ตู้ลิ้นชักลึก45 IT,
321,S1,หน้าบาน 60,
322,S2,หน้าบาน ตู้แขวนแนวตั้ง,
323,S3,หน้าบาน ตู้แขวนแนวนอน Flap down,
324,S4,หน้าบาน ตู้แขวนแนวนอน Flap up,
325,S5,หน้าลิ้นชัก ตู้TVโต๊ะ DW-TVB,
326,S6,หน้าลิ้นชัก ตู้แขวน 60 DW-60,
327,S7,หน้าลิ้นชัก ตู้แขวน DW,
328,S8,หน้าลิ้นชัก ตู้พื้น DW-B,
329,S9,ตู้แขวน ลิ้นชัก IHDW 60,
330,T1,กล่องแขวน โล่งไม้ IHB ลึก 15,
331,T2,กล่องแขวน โล่งไม้ IHB ลึก 30,
332,T3,ผนังหลัง ไม้ IW 15,
333,T4,ผนังหลัง ไม้ IW 30,
334,T5,ผนังหลัง ไม้ IW 60,
335,T6,ตู้โชว์ ISC,
336,T7,สายไฟ,
337,T8,ชุดครัวสแตนเลส,
338,T9,กริ่งสนทนาเห็นภาพและเสียง,
339,U1,กล้องตาแมว,
340,U2,กลอนประตูดิจิตอล,
341,U3,เก้าอี้นวดไฟฟ้า,
342,U4,ตู้เซฟ,
343,U5,โฮมเธียเตอร์,
344,U6,เครื่องสั่น,
345,U7,เบาะนวด,
346,U8,เครื่องนวดเท้า,
347,U9,เครื่องนวดคอ,
348,V1,หมอนนวด,
349,V2,Top หิน,
350,V3,Top ไม้,
351,V4,Gadgets,
352,V5,กระเป๋า,
353,V6,ถังขยะ,
354,V7,กล่องและภาชนะเก็บอาหาร,
355,V8,การ์ด,
356,V9,ขวดเครื่องปรุง,
357,W0,ของขวัญ กิ๊ฟช็อป,
358,W1,ของขวัญสำหรับเด็ก,
359,W2,ของตกแต่งห้องเด็ก,
360,W3,ของเล่นเด็ก,
361,W4,เครื่องแก้วและเหยือกน้ำ,
362,W5,เครื่องเขียน,
363,W6,เครื่องใช้ในครัว,
364,W7,โคมไฟสำหรับเด็ก,
365,W8,ช้อนส้อมมีด,
366,W9,**Delete**,
367,X0,ชาและกาแฟ,
368,X1,โซฟาสำหรับเด็ก,
369,X2,ตะกร้า,
370,X3,ตำราอาหาร,
371,X4,ผ้าคลุมเตียง,
372,X5,โป๊ะโคมไฟ,
373,X6,ผ้าขนหนู,
374,X7,ผ้าคาดเตียง,
375,X8,ผ้าเช็ดปาก,
376,X9,ผ้าสำหรับเด็ก,
377,Y0,พรมเช็ดเท้า,
378,Y1,พรมตกแต่ง,
379,Y2,เฟอร์นิเจอร์เด็ก,
380,Y3,เฟอร์นิเจอร์และที่เก็บของในห้องน้ำ,
381,Y4,แฟ้มแขวน,
382,Y5,ถาดและรถเข็น,
383,Y6,ภาชนะใส่อาหาร,
384,Y7,ม่านห้องน้ำ,
385,Y8,มีดทำครัว,
386,Y9,ร่ม,
387,Z0,ลำโพงบลูทูธ,
388,Z1,สินค้าสำหรับเด็กอื่นๆ,
389,Z2,หนังสือ,
390,Z3,หลอดไฟและอุปกรณ์,
391,Z4,อุปกรณ์ทำขนม,
392,Z5,อุปกรณ์ทำอาหาร,
393,Z6,อุปกรณ์ในห้องน้ำ,
394,Z7,อุปกรณ์บนโต๊ะทำงาน,
395,Z8,อุปกรณ์บาร์,
396,Z9,อุปกรณ์พิเศษ,
397,BF,ม่านจีบ,Pleated
398,MG,เฟอร์นิเจอร์เป่าลม,Air Furniture
399,CG,อาร์มแชร์หนังนาโน,Armchair/Nano
400,CK,ชุดครัว Divani,Kitchen Set Divani
401,CL,ชุดครัว Domino,Kitchen Set Domino
402,CM,ชุดครัว Kourmet,Kitchen Set Kourmet
