"ITEM_ID","CART_ID","MATNR","QUANTITY","TOTAL_PRICE","DESCRIPTION","NORMAL_PRICE","F_CANBUY","PROMO_REC_ID","PROMO_CART_ITEM_ID","SOFTNESS_ID"
"8,850","9,446","59008617",1,"27,500",,"27,500",Y,,,
"8,862","9,444","19076889",1,"2,240",,"2,240",Y,,,
"123,322","128,268","19115083",1,"4,900",,"4,900",Y,,,
"57,126","4,462","19023861",1,"3,570",,"3,570",Y,,,
"10,908","11,805","59004534",1,"31,900",,"31,900",Y,,,
"8,894","9,462","59008017",1,"9,900",,"9,900",Y,,,
"57,162","63,143","19045725",1,"6,650",,"6,650",Y,,,
"8,961","9,562","19097823",1,"7,900",,"7,900",Y,,,
"9,029","9,642","19112184",1,"19,900",,"19,900",Y,,,
"9,031","9,642","19110855",1,"19,900",,"19,900",Y,,,
"9,030","9,642","19111094",1,"23,900",,"23,900",Y,,,
"9,032","9,642","19110689",1,"31,900",,"31,900",Y,,,
"57,203","63,203","19081405",1,"7,500",,"7,500",Y,,,
"9,064","9,686","19112411",1,"18,900",,"18,900",Y,,,
"9,065","9,686","19110639",1,"19,000",,"19,000",Y,,,
"9,066","9,686","19055592",1,"16,520",,"16,520",Y,,,
"9,067","9,686","19108359",1,"16,300",,"16,300",Y,,,
"9,079","6,862","19085615",1,"1,750",,"1,750",Y,,,
"9,070","9,686","19042633",1,"5,900",,"5,900",Y,,,
"9,078","6,862","19086670",1,"1,890",,"1,890",Y,,,
"9,181","9,863","19100902",1,975,,975,Y,,,
"9,203","9,867","19089077",1,"3,500",,"3,500",Y,,,
"9,205","9,805","19096189",1,"3,900",,"3,900",Y,,,
"9,981","10,802","19097665",1,"23,900",,"23,900",Y,,,
"9,465","10,242","59004336",1,"15,900",,"15,900",Y,,,
"57,205","63,203","19081404",1,"21,000",,"21,000",Y,,,
"57,224","63,224","59012397",1,"28,900",,"28,900",Y,,,
"10,283","11,184","19101786",1,"1,470",,"1,470",Y,,,
"10,065","6,783","19090283",1,"32,900",,"32,900",Y,,,
"10,081","6,783","59008472",1,"27,450",,"27,450",Y,,,
"10,363","11,222","19042355",1,"4,550",,"4,550",Y,,,
"57,226","63,225","19112773",1,"9,900",,"9,900",Y,,,
"10,432","11,365","59004524",1,"28,900",,"28,900",Y,,,
"10,362","11,222","19041970",1,"4,550",,"4,550",Y,,,
