"ITEM_ID","IDEABOOK_ID","MATNR","INSPIRATION_ID","IMAGE_ID","ITEM_TYPE","PHOTO_ID"
"3,625","3,905","59003359",,,MDM_CYBER,
"3,626","3,905","59000177",,,MDM_CYBER,
"3,627","3,905","59000165",,,MDM_CYBER,
"3,628","3,905","19096152",,,MDM_CYBER,
"3,642","4,101","19101779",,,MDM_CYBER,
"3,665","4,120","19031449",,,MDM_CYBER,
"3,702","3,381","19044412",,,MDM_CYBER,
"3,708","4,409","19024114",,,MDM_CYBER,
"3,726","4,432","19077083",,,MDM_CYBER,
"3,730","4,432","19101785",,,MDM_CYBER,
"3,731","4,432","19085620",,,MDM_CYBER,
"3,732","4,437",,122,,INSPIRATION,
"3,733","4,437","59008822",,,MDM_CYBER,
"3,744","4,582","19041860",,,MDM_CYBER,
"3,802","4,785","19097322",,,MDM_CYBER,
"3,822","4,844","19036595",,,MDM_CYBER,
"3,842","4,921","59007253",,,MDM_CYBER,
"4,002","3,542","19098019",,,MDM_CYBER,
"4,003","3,542","19093902",,,MDM_CYBER,
"4,007","5,145","19036586",,,MDM_CYBER,
"4,027","5,167","19041859",,,MDM_CYBER,
"4,029","5,168","19077242",,,MDM_CYBER,
"4,031","5,168","19067482",,,MDM_CYBER,
"4,142","5,785","25017213",,,MDM_CYBER,
"4,148","5,785","25015049",,,MDM_CYBER,
"4,163","5,801","59008824",,,MDM_CYBER,
"4,202","5,859",,"2,143",,INSPIRATION,
"4,223","3,600","25014019",,,MDM_CYBER,
"4,324","5,165","19088981",,,MDM_CYBER,
"4,350","6,184","19078321",,,MDM_CYBER,
"4,351","6,184","19095864",,,MDM_CYBER,
"4,352","6,184","19093163",,,MDM_CYBER,
"4,354","6,184","19077420",,,MDM_CYBER,
"4,442","6,460","59008822",,,MDM_CYBER,
"4,463","6,502","19090399",,,MDM_CYBER,
"4,469","6,508","25022525",,,MDM_CYBER,
"4,471","6,508","25022522",,,MDM_CYBER,
"4,523","6,524","25015971",,,MDM_CYBER,
"4,524","6,524","25015964",,,MDM_CYBER,
"4,526","6,524","25014335",,,MDM_CYBER,
